108	Alshon Jeffery, CHI	 8	 WR43	 $2
109	Bryce Brown, PHI	 12	 RB41	 $2
110	Vincent Brown, SD	 8	 WR44	 $2
111	Michael Vick, PHI	 12	 QB15	 $2
112	Bernard Pierce, BAL	 8	 RB42	 $2
113	San Francisco 49ers D/ST	 9	 DEF2	 $1
114	Michael Floyd, ARI	 9	 WR45	 $1
115	Jared Cook, STL	 11	 TE11	 $1
116	Fred Jackson, BUF	 12	 RB43	 $1
117	Knowshon Moreno, DEN	 9	 RB44	 $1
118	Sam Bradford, STL	 11	 QB16	 $1
119	Shonn Greene, TEN	 8	 RB45	 $1
120	Golden Tate, SEA	 12	 WR46	 $1
121	Malcom Floyd, SD	 8	 WR47	 $1
122	Houston Texans D/ST	 8	 DEF3	 $1
123	Rueben Randle, NYG	 9	 WR48	 $1
124	Jonathan Dwyer, PIT	 5	 RB46	 $1
125	Ryan Broyles, DET	 9	 WR49	 $1
126	Jermichael Finley, GB	 4	 TE12	 $1
127	Jacquizz Rodgers, ATL	 6	 RB47	 $1
128	Jay Cutler, CHI	 8	 QB17	 $1
129	Joique Bell, DET	 9	 RB48	 $1
130	Chicago Bears D/ST	 8	 DEF4	 $1
131	Roy Helu, WAS	 5	 RB49	 $1
132	Kendall Wright, TEN	 8	 WR50	 $1
133	Cincinnati Bengals D/ST	 12	 DEF5	 $1
134	DeAndre Hopkins, HOU	 8	 WR51	 $1
135	Martellus Bennett, CHI	 8	 TE13	 $1
136	Joe Flacco, BAL	 8	 QB18	 $1
137	Ronnie Hillman, DEN	 9	 RB50	 $1
138	Andre Roberts, ARI	 9	 WR52	 $1
139	New England Patriots D/ST	 10	 DEF6	 $1
140	Brandon Pettigrew, DET	 9	 TE14	 $1
141	Christine Michael, SEA	 12	 RB51	 $1
142	Kenbrell Thompkins, NE	 10	 WR53	 $1
143	Denver Broncos D/ST	 9	 DEF7	 $1
144	Bilal Powell, NYJ	 10	 RB52	 $1
145	Fred Davis, WAS	 5	 TE15	 $1
146	Mike Tolbert, CAR	 4	 RB53	 $1
147	Pittsburgh Steelers D/ST	 5	 DEF8	 $1
148	St. Louis Rams D/ST	 11	 DEF9	 $1
149	Green Bay Packers D/ST	 4	 DEF10	 $1
150	Stephen Gostkowski, NE	 10	 K1	 $1
151	Blair Walsh, MIN	 5	 K2	 $1
152	Matt Bryant, ATL	 6	 K3	 $1
153	Justin Tucker, BAL	 8	 K4	 $1
154	Matt Prater, DEN	 9	 K5	 $1
155	Phil Dawson, SF	 9	 K6	 $1
156	Randy Bullock, HOU	 8	 K7	 $1
157	Josh Brown, NYG	 9	 K8	 $1
158	Sebastian Janikowski, OAK	 7	 K9	 $1
159	David Akers, DET	 9	 K10	 $1
160	Brian Hartline, MIA	 6	 WR54	 --
161	Andy Dalton, CIN	 12	 QB19	 --
162	Mikel Leshoure, DET	 9	 RB54	 --
163	Justin Blackmon, JAC	 9	 WR55	 --
164	Mike Goodson, NYJ	 10	 RB55	 --
165	Michael Bush, CHI	 8	 RB56	 --
166	Greg Little, CLE	 10	 WR56	 --
