108	Lance Moore	NO	WR	7	29	8	$5
109	Antonio Gates	SD	TE	8	33	10	$4
110	Owen Daniels	HOU	TE	8	30	7	$4
111	Tyler Eifert	CIN	TE	12	22	R	$4
112	Ben Roethlisberger	PIT	QB	5	31	9	$4
113	Jay Cutler	CHI	QB	8	30	7	$4
114	Joe Flacco	BAL	QB	8	28	5	$4
115	Ryan Tannehill	MIA	QB	6	25	1	$4
116	DeAngelo Williams	CAR	RB	4	30	7	$4
117	Ronnie Hillman	DEN	RB	9	21	1	$4
118	Denarius Moore	OAK	WR	7	24	2	$4
119	Chris Givens	STL	WR	11	23	1	$4
120	Bryce Brown	PHI	RB	12	22	1	$4
121	Kendall Wright	TEN	WR	8	23	1	$4
122	Johnathan Franklin	GB	RB	4	23	R	$4
123	Alshon Jeffery	CHI	WR	8	23	1	$4
124	Jonathan Stewart	CAR	RB	4	26	5	$4
125	Rueben Randle	NYG	WR	9	22	1	$4
126	Zac Stacy	STL	RB	11	22	R	$4
127	Denver Defense	DEN	Def	9	 	 	$3
128	Chicago Defense	CHI	Def	8	 	 	$3
129	Houston Defense	HOU	Def	8	 	 	$3
130	Jordan Cameron	CLE	TE	10	25	2	$3
131	Brandon Pettigrew	DET	TE	9	28	4	$3
132	Brandon Myers	NYG	TE	9	27	4	$3
133	Josh Freeman	TB	QB	5	25	4	$3
134	Michael Vick	PHI	QB	12	33	12	$3
135	Martellus Bennett	CHI	TE	8	26	5	$3
136	Coby Fleener	IND	TE	8	24	1	$3
137	Josh Brown	NYG	PK	9	34	10	$3
138	Philip Rivers	SD	QB	8	31	9	$3
139	Matt Schaub	HOU	QB	8	32	9	$3
140	Golden Tate	SEA	WR	12	25	3	$3
141	E.J. Manuel	BUF	QB	12	23	R	$3
142	Danny Woodhead	SD	RB	8	28	5	$3
143	Isaiah Pead	STL	RB	11	23	1	$3
144	Emmanuel Sanders	PIT	WR	5	26	3	$3
145	Ryan Broyles	DET	WR	9	25	1	$3
146	Mikel Leshoure	DET	RB	9	23	2	$3
147	Sidney Rice	SEA	WR	12	26	6	$3
148	Christine Michael	SEA	RB	12	22	R	$3
149	Aaron Dobson	NE	WR	10	22	R	$3
150	Keenan Allen	SD	WR	8	21	R	$3
151	Markus Wheaton	PIT	WR	5	22	R	$3
152	Justin Hunter	TEN	WR	8	22	R	$3
153	Dustin Keller	MIA	TE	6	28	5	$2
154	Stephen Gostkowski	NE	PK	10	29	7	$2
155	New England Defense	NE	Def	10	 	 	$2
156	Cincinnati Defense	CIN	Def	12	 	 	$2
157	Fred Davis	WAS	TE	5	27	5	$2
158	Carson Palmer	ARI	QB	9	33	10	$2
159	Robert Housler	ARI	TE	9	25	2	$2
160	Jermaine Gresham	CIN	TE	12	25	3	$2
161	Dwayne Allen	IND	TE	8	23	1	$2
162	Alex Smith	KC	QB	10	29	8	$2
163	Jake Locker	TEN	QB	8	25	2	$2
164	Christian Ponder	MIN	QB	5	25	2	$2
165	Geno Smith	NYJ	QB	10	22	R	$2
166	Pierre Thomas	NO	RB	7	28	6	$2
167	Jacquizz Rodgers	ATL	RB	6	23	2	$2
168	Kenbrell Thompkins	NE	WR	10	 	R	$2
169	Stephen Hill	NYJ	WR	10	22	1	$2
170	Greg Little	CLE	WR	10	24	2	$2
171	Fred Jackson	BUF	RB	12	32	7	$2
172	Brian Hartline	MIA	WR	6	26	4	$2
173	LaMichael James	SF	RB	9	23	1	$2
174	Malcom Floyd	SD	WR	8	31	9	$2
175	Joseph Randle	DAL	RB	11	21	R	$2
176	Robert Woods	BUF	WR	12	21	R	$2
177	Mohamed Sanu	CIN	WR	12	24	1	$2
178	Ryan Williams	ARI	RB	9	23	2	$2
179	Mike Gillislee	MIA	RB	6	22	R	$2
180	Latavius Murray	OAK	RB	7	22	R	$2
181	Brian Quick	STL	WR	11	24	1	$2
182	Stedman Bailey	STL	WR	11	22	R	$2
183	Joseph Morgan	NO	WR	7	25	2	$1
184	Willis McGahee	---	RB	0	31	10	$1
185	Brock Osweiler	DEN	QB	9	22	1	$1
186	Marquise Goodwin	BUF	WR	12	22	R	$1
187	Kerwynn Williams	IND	RB	8	22	R	$1
188	Taylor Thompson	TEN	TE	8	23	1	$1
189	Matt Bryant	ATL	PK	6	38	11	$1
190	Matt Prater	DEN	PK	9	29	7	$1
191	Phil Dawson	SF	PK	9	38	15	$1
192	Justin Tucker	BAL	PK	8	23	1	$1
193	Blair Walsh	MIN	PK	5	23	1	$1
194	Sebastian Janikowski	OAK	PK	7	35	13	$1
195	St. Louis Defense	STL	Def	11	 	 	$1
196	Dan Bailey	DAL	PK	11	25	2	$1
197	Green Bay Defense	GB	Def	4	 	 	$1
198	Garrett Hartley	NO	PK	7	27	5	$1
199	Baltimore Defense	BAL	Def	8	 	 	$1
200	Arizona Defense	ARI	Def	9	 	 	$1
